national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url
3577,Panama,panama,130,Panama,PN1C,CONCACAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3577.png?lm=1716532950,26,30.5,24,92.3,34549999,,34,2025,https://www.transfermarkt.co.uk/panama/startseite/verein/3577
3580,Luxembourg,luxembourg,99,Luxembourg,LUX1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3580.png?lm=1759821094,23,26.2,23,100.0,14980000,,98,2025,https://www.transfermarkt.co.uk/luxembourg/startseite/verein/3580
3581,Paraguay,paraguay,132,Paraguay,PR1A,CONMEBOL,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3581.png?lm=1586637910,26,29.1,23,88.5,153649994,,41,2025,https://www.transfermarkt.co.uk/paraguay/startseite/verein/3581
3582,Iran,iran,71,Iran,IRN1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3582.png?lm=1410457573,26,30.4,9,34.6,32049999,,20,2025,https://www.transfermarkt.co.uk/iran/startseite/verein/3582
3584,Peru,peru,133,Peru,TDeA,CONMEBOL,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3584.png?lm=1756413571,24,27.1,11,45.8,30629999,,52,2025,https://www.transfermarkt.co.uk/peru/startseite/verein/3584
3586,Lebanon,lebanon,94,Lebanon,LIB1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3586.png?lm=1683414736,23,28.9,7,30.4,5550000,,115,2025,https://www.transfermarkt.co.uk/lebanon/startseite/verein/3586
3587,Malta,malta,106,Malta,MT1N,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3587.png?lm=1460732043,27,27.1,9,33.3,15000000,,161,2025,https://www.transfermarkt.co.uk/malta/startseite/verein/3587
3588,Slovenia,slovenia,155,Slovenia,SL1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3588.png?lm=1718570048,25,26.6,20,80.0,100500000,,59,2025,https://www.transfermarkt.co.uk/slovenia/startseite/verein/3588
3589,"Korea, South",south-korea,87,"Korea, South",RSK1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3589.png?lm=1700511820,26,28.1,19,73.1,139050003,,25,2025,https://www.transfermarkt.co.uk/south-korea/startseite/verein/3589
3590,Honduras,honduras,66,Honduras,HO1A,CONCACAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3590.png?lm=1759842655,26,25.4,10,38.5,21430000,,65,2025,https://www.transfermarkt.co.uk/honduras/startseite/verein/3590
3614,Algeria,algeria,4,Algeria,ALG1,CAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3614.png?lm=1766726552,26,26.9,23,88.5,256899994,,28,2025,https://www.transfermarkt.co.uk/algeria/startseite/verein/3614
3668,Cyprus,cyprus,188,Cyprus,ZYP1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3668.png?lm=1668596160,27,26.8,8,29.6,19900000,,124,2025,https://www.transfermarkt.co.uk/cyprus/startseite/verein/3668
3669,Georgia,georgia,53,Georgia,GE1N,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3669.png?lm=1687622148,27,26.3,25,92.6,261600006,,72,2025,https://www.transfermarkt.co.uk/georgia/startseite/verein/3669
3670,Tunisia,tunisia,173,Tunisia,TUN1,CAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3670.png?lm=1766537262,26,26.7,20,76.9,69949997,,45,2025,https://www.transfermarkt.co.uk/tunisia/startseite/verein/3670
3671,Jamaica,jamaica,76,Jamaica,JPL1,CONCACAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3671.png?lm=1442643349,24,23.2,17,70.8,9050000,,71,2025,https://www.transfermarkt.co.uk/jamaica/startseite/verein/3671
3672,Egypt,egypt,2,Egypt,EGY1,CAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3672.png?lm=1766509955,26,29.1,9,34.6,116480003,,29,2025,https://www.transfermarkt.co.uk/egypt/startseite/verein/3672
3699,Ukraine,ukraine,177,Ukraine,UKR1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3699.png?lm=1622018584,25,26.6,12,48.0,247000000,,32,2025,https://www.transfermarkt.co.uk/ukraine/startseite/verein/3699
3700,Chile,chile,33,Chile,CLPD,CONMEBOL,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3700.png?lm=1752961993,25,25.9,19,76.0,66800003,,51,2025,https://www.transfermarkt.co.uk/chile/startseite/verein/3700
37574,Gibraltar,gibraltar,266,Gibraltar,GI1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/37574.png?lm=1615319717,25,23.8,9,36.0,1840000,,202,2025,https://www.transfermarkt.co.uk/gibraltar/startseite/verein/37574
3806,South Africa,south-africa,159,South Africa,SFA1,CAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3806.png?lm=1420391696,26,26.9,7,26.9,49250000,,60,2025,https://www.transfermarkt.co.uk/south-africa/startseite/verein/3806
3807,Saudi Arabia,saudi-arabia,146,Saudi Arabia,SA1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3807.png?lm=1673042385,26,28.6,1,3.8,40680000,,61,2025,https://www.transfermarkt.co.uk/saudi-arabia/startseite/verein/3807
3816,Colombia,colombia,83,Colombia,COLP,CONMEBOL,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3816.png?lm=1419787507,26,30.1,25,96.2,302350006,,13,2025,https://www.transfermarkt.co.uk/colombia/startseite/verein/3816
3851,Lithuania,lithuania,98,Lithuania,LI1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3851.png?lm=1410169941,23,26.3,11,47.8,16180000,,149,2025,https://www.transfermarkt.co.uk/lithuania/startseite/verein/3851
3864,Wales,wales,191,Wales,WAL1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3864.png?lm=1622017261,27,26.6,20,74.1,180649994,,37,2025,https://www.transfermarkt.co.uk/wales/startseite/verein/3864
3956,Kyrgyzstan,kyrgyzstan,90,Kyrgyzstan,KG1L,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/3956.png?lm=1773450583,26,26.1,7,26.9,7050000,,106,2025,https://www.transfermarkt.co.uk/kyrgyzstan/startseite/verein/3956
